;;;;;;;;;;;;;;;;;;;;;;;;;;
Literatuur Lijst;;;;;;;;;;;;;;;;;;;;;;;;;;
;Onderwerp;Lezer;Jaar;Instituut;Auteur/s;Site;;;;;;;;;;;;;;;;;;;;
1;A Kinect-based movement assessment system:marker position comparison to Vicon;Bram;12 juli 2017;"aDepartment of Mechanical and Aerospace Engineering, University of California at Los Angeles, Los Angeles, CA, USA; bDepartment of Orthopaedic Surgery, University of California at San Francisco, San Francisco, CA, USA; cDepartment of Mechanical Engineering, 
 Berkeley, CA, USA";Julia K. Nichols, Mark P. Sena, Jennifer L. Hu, Oliver M. O’Reilly, Brian T., Feeley & Jeffrey C. Lotz;zie literatuur map;;;;;;;;;;;;;;;;;;;;
2; Analyzing gait pathologies using a depth camera;Laura, Tony;2012;University of Montreal, Canada;Hoang Anh Nguyen, Edouard Auvinet, Max Mignotte, Jacques A. de Guise and Jean Meunier;zie literatuur map;;;;;;;;;;;;;;;;;;;;
3;Measurement of active shoulder motion using, the Kinect, a commercially available infrared, position detection system;Bram, Tony;11 dec 2016;University of California at Berkeley, Berkeley, CA, USA;Frederick A. Matsen III, MD*, Alexander Lauder, MD, Kyle Rector, MS, Frederick A. Matsen III, MD*, Alexander Lauder, MD, Kyle Rector, MS, Peyton Keeling, MD (Candidate 2017), Arien L. Cherones;zie literatuur map;;;;;;;;;;;;;;;;;;;;
4;"Template Deformation-Based 3-D Reconstruction of
Full Human Body Scans From Low-Cost
Depth Cameras";Thijs;maart 2017;;Zhenbao Liu, Member, IEEE, Jinxin Huang, Shuhui Bu, Junwei Han, Senior Member, IEEE, Xiaojun Tang, and Xuelong Li, Fellow, IEEE;http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7416183;;;;;;;;;;;;;;;;;;;;
5;A Robust Rigid Skeleton Extraction, Method from Noisy Visual Hull Model;Tony;1 nov 2014;Harbin Institute of Technology, Shenzhen, China;Xiaojun Wu1* and YiXin Xu1;zie literatuur map;;;;;;;;;;;;;;;;;;;;
6;Reflexion Health’s Rehabilitation Measurement, Tool is Advancing Physical Therapy with Kinect for Windows;Laura;2012;Reflexion Health, Inc.;Dr. Ravi Komatireddy, co-founder, Reflexion Health;zie literatuur map;;;;;;;;;;;;;;;;;;;;
7;Measurement of three dimensional shoulder movement patterns with an electromagnetic tracking device inpatients with a frozen shoulder;Maricruz;2002;H M Vermeulen,Department of Physical and Occupational Therapy, H0-Q, Leiden University Medical Centre;H M Vermeulen, M Stokdijk,PHC Eilers,CGM Meskers, P M Rozing, T P M VlietVlieland;zie literatuur map;;;;;;;;;;;;;;;;;;;;
8;Electronic Supplementary Material for “A Kinect-Based Movement Assessment System: Marker Position Comparison to Vicon”;Bart;28 nov 2016;University of California,;Julia K. Nichols, Mark P. Sena, Jennifer L. Hu, Oliver M. O’Reilly, Brian T. Feeley, and Jeffrey C. Lotz;zie literatuur map;;;;;;;;;;;;;;;;;;;;
9; 3D skeleton-based human action classification: A survey;Laura;24 nov 2015;University of Palermo, Italy;"
Liliana Lo Presti n, Marco La Cascia";zie literatuur map;;;;;;;;;;;;;;;;;;;;
10;Real-Time Human Pose Recognition in Parts from Single Depth Images;Bart;June 1, 2011;Microsoft Research;Jamie Shotton, Andrew Fitzgibbon, Andrew Blake, Alex Kipman, Mark Finocchio, Bob Moore, Toby Sharp;https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/BodyPartRecognition.pdf;;;;;;;;;;;;;;;;;;;;
11;An Efficient Star Skeleton Extraction for Human Action Recognition Using Hidden Markov Models;Robin;2016;Faculty of Electrical & Electronics Engineering Ho Chi Minh City University of Technology, Vietnam;Pham The Hai and Ha Hoang Kha;http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7562661;;;;;;;;;;;;;;;;;;;;
12;Improved Skeleton Estimation by Means of Depth Data Fusion from Multiple Depth Cameras;Jordy, Bart;2017;;Marco Carraro, Matteo Munaro, Alina Roitberg and Emanuele Menegatti;zie literatuur map;;;;;;;;;;;;;;;;;;;;
13;Human detection using depth information by Kinect;Boris;12 aug 2011;University of Texas;"L.Xia; J.K.Aggarwal; C.Chen";https://isl2-dev.cp.eng.chula.ac.th/sites/default/files/Human%20Detection%20Using%20Depth%20Information%20by%20Kinect.pdf;;;;;;;;;;;;;;;;;;;;
14;Recognizing actions using depth motion maps-based histograms of oriented gradients;;2 nov 2012;City University of New York;"X.Yang; C.Zhang; Y. Tian";http://delivery.acm.org/10.1145/2400000/2396382/p1057-yang.pdf?ip=145.52.162.53&id=2396382&acc=ACTIVE%20SERVICE&key=0C390721DC3021FF%2EB176EDF61D979E63%2E4D4702B0C3E38B35%2E4D4702B0C3E38B35&CFID=809028028&CFTOKEN=17048035&__acm__=1505374892_50ae087e8a0374fce96c56c917b2a440;;;;;;;;;;;;;;;;;;;;
